"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Praia Norte (TO)","2018","8365"
"Presidente Kennedy (TO)","2018","3692"
"Pugmil (TO)","2018","2659"
"Recursolândia (TO)","2018","4244"
"Riachinho (TO)","2018","4604"
"Rio da Conceição (TO)","2018","2088"
"Rio dos Bois (TO)","2018","2811"
"Rio Sono (TO)","2018","6468"
"Sampaio (TO)","2018","4627"
"Sandolândia (TO)","2018","3378"
"Santa Fé do Araguaia (TO)","2018","7426"
"Santa Maria do Tocantins (TO)","2018","3381"
"Santa Rita do Tocantins (TO)","2018","2344"
"Santa Rosa do Tocantins (TO)","2018","4811"
"Santa Tereza do Tocantins (TO)","2018","2834"
"Santa Terezinha do Tocantins (TO)","2018","2528"
"São Bento do Tocantins (TO)","2018","5256"
"São Félix do Tocantins (TO)","2018","1572"
"São Miguel do Tocantins (TO)","2018","11967"
"São Salvador do Tocantins (TO)","2018","3070"
"São Sebastião do Tocantins (TO)","2018","4757"
"São Valério (TO)","2018","4017"
"Silvanópolis (TO)","2018","5378"
"Sítio Novo do Tocantins (TO)","2018","9078"
"Sucupira (TO)","2018","1946"
"Taguatinga (TO)","2018","16538"
"Taipas do Tocantins (TO)","2018","2131"
"Talismã (TO)","2018","2773"
"Palmas (TO)","2018","291855"
"Tocantínia (TO)","2018","7471"
"Tocantinópolis (TO)","2018","22896"
"Tupirama (TO)","2018","1860"
"Tupiratins (TO)","2018","2613"
"Wanderlândia (TO)","2018","11631"
"Xambioá (TO)","2018","11561"
"Açailândia (MA)","2018","111757"
"Afonso Cunha (MA)","2018","6469"
"Água Doce do Maranhão (MA)","2018","12488"
"Alcântara (MA)","2018","22083"
"Aldeias Altas (MA)","2018","26302"
"Altamira do Maranhão (MA)","2018","8066"
"Alto Alegre do Maranhão (MA)","2018","26839"
"Alto Alegre do Pindaré (MA)","2018","31894"
"Alto Parnaíba (MA)","2018","11168"
"Amapá do Maranhão (MA)","2018","6918"
"Amarante do Maranhão (MA)","2018","41136"
"Anajatuba (MA)","2018","26614"
"Anapurus (MA)","2018","15566"
"Apicum-Açu (MA)","2018","17063"
"Araguanã (MA)","2018","15297"
"Araioses (MA)","2018","46103"
"Arame (MA)","2018","32637"
"Arari (MA)","2018","29764"
"Axixá (MA)","2018","12076"
"Bacabal (MA)","2018","104633"
"Bacabeira (MA)","2018","16855"
"Bacuri (MA)","2018","18508"
"Bacurituba (MA)","2018","5617"
"Balsas (MA)","2018","93826"
"Barão de Grajaú (MA)","2018","18714"
"Barra do Corda (MA)","2018","87794"
"Barreirinhas (MA)","2018","61828"
"Belágua (MA)","2018","7409"
"Bela Vista do Maranhão (MA)","2018","11138"
"Benedito Leite (MA)","2018","5627"
"Bequimão (MA)","2018","21260"
"Bernardo do Mearim (MA)","2018","6011"
"Boa Vista do Gurupi (MA)","2018","9158"
"Bom Jardim (MA)","2018","41435"
"Bom Jesus das Selvas (MA)","2018","33479"
"Bom Lugar (MA)","2018","16148"
"Brejo (MA)","2018","36139"
"Brejo de Areia (MA)","2018","9367"
"Buriti (MA)","2018","28557"
"Buriti Bravo (MA)","2018","23827"
"Buriticupu (MA)","2018","71723"
"Buritirana (MA)","2018","15393"
"Cachoeira Grande (MA)","2018","9382"
"Cajapió (MA)","2018","11136"
"Cajari (MA)","2018","19307"
"Campestre do Maranhão (MA)","2018","14294"
"Cândido Mendes (MA)","2018","20076"
"Cantanhede (MA)","2018","21872"
"Capinzal do Norte (MA)","2018","10932"
"Carolina (MA)","2018","24337"
"Carutapera (MA)","2018","23658"
"Caxias (MA)","2018","164224"
"Cedral (MA)","2018","10657"
"Central do Maranhão (MA)","2018","8604"
"Centro do Guilherme (MA)","2018","13243"
"Centro Novo do Maranhão (MA)","2018","21399"
"Chapadinha (MA)","2018","79145"
"Cidelândia (MA)","2018","14617"
"Codó (MA)","2018","122597"
"Coelho Neto (MA)","2018","49246"
"Colinas (MA)","2018","41042"
"Conceição do Lago-Açu (MA)","2018","16072"
"Coroatá (MA)","2018","65044"
"Cururupu (MA)","2018","32765"
"Davinópolis (MA)","2018","12901"
"Dom Pedro (MA)","2018","23328"
"Duque Bacelar (MA)","2018","11296"
"Esperantinópolis (MA)","2018","17379"
"Estreito (MA)","2018","41355"
"Feira Nova do Maranhão (MA)","2018","8481"
"Fernando Falcão (MA)","2018","10258"
"Formosa da Serra Negra (MA)","2018","18917"
