"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Itatiba do Sul (RS)","2010","3714","1487","793","240","141","82","17","16","939"
"Ivorá (RS)","2010","1946","761","521","120","112","49","6","9","368"
"Ivoti (RS)","2010","17435","2792","6167","2074","1706","862","329","178","3327"
"Jaboticaba (RS)","2010","3558","1520","456","120","93","50","15","3","1301"
"Jacuizinho (RS)","2010","2190","864","358","117","65","49","13","22","702"
"Jacutinga (RS)","2010","3285","1157","900","213","202","70","15","3","725"
"Jaguarão (RS)","2010","24271","8556","5862","1193","1130","732","194","89","6516"
"Jaguari (RS)","2010","10406","3583","2328","886","624","423","90","29","2442"
"Jaquirana (RS)","2010","3474","1293","747","124","114","28","-","3","1165"
"Jari (RS)","2010","3161","1219","429","116","58","63","18","4","1254"
"Jóia (RS)","2010","7136","2532","1245","366","212","151","51","24","2555"
"Júlio de Castilhos (RS)","2010","16857","5669","3308","1047","876","526","141","103","5186"
"Lagoa Bonita do Sul (RS)","2010","2276","832","619","204","143","81","4","-","394"
"Lagoão (RS)","2010","5222","2636","988","263","117","45","14","5","1154"
"Lagoa dos Três Cantos (RS)","2010","1452","484","430","153","87","90","29","3","177"
"Lagoa Vermelha (RS)","2010","23921","7288","5768","1759","1506","1099","262","86","6153"
"Lajeado (RS)","2010","62940","8915","21014","8023","6941","4407","1198","597","11845"
"Lajeado do Bugre (RS)","2010","2083","816","387","61","47","11","5","-","756"
"Lavras do Sul (RS)","2010","6615","2929","1105","325","254","155","50","15","1782"
"Liberato Salzano (RS)","2010","5048","2103","1278","307","204","101","29","3","1024"
"Lindolfo Collor (RS)","2010","4435","901","1951","455","215","50","6","7","849"
"Linha Nova (RS)","2010","1463","413","536","161","109","62","11","3","169"
"Machadinho (RS)","2010","4792","1910","1052","260","238","139","47","14","1133"
"Maçambará (RS)","2010","4038","1109","1029","160","158","53","40","6","1483"
"Mampituba (RS)","2010","2593","1219","444","124","67","22","7","3","707"
"Manoel Viana (RS)","2010","6146","2345","1224","353","189","158","53","14","1810"
"Maquiné (RS)","2010","6042","2108","1676","417","223","115","48","10","1446"
"Maratá (RS)","2010","2295","783","770","221","131","57","14","2","317"
"Marau (RS)","2010","31769","5838","10584","4110","3288","1739","342","233","5636"
"Marcelino Ramos (RS)","2010","4604","1569","1222","391","310","165","67","11","869"
"Mariana Pimentel (RS)","2010","3350","1446","792","158","166","60","22","8","697"
"Mariano Moro (RS)","2010","1981","571","595","153","193","113","16","11","330"
"Marques de Souza (RS)","2010","3682","1108","1285","414","223","116","23","23","492"
"Mata (RS)","2010","4535","1873","898","264","154","87","14","-","1245"
"Mato Castelhano (RS)","2010","2156","697","539","122","115","87","22","13","562"
"Mato Leitão (RS)","2010","3430","990","1158","352","219","106","13","-","591"
"Mato Queimado (RS)","2010","1590","565","384","131","72","41","14","2","381"
"Maximiliano de Almeida (RS)","2010","4351","1706","1105","235","233","121","31","8","914"
"Minas do Leão (RS)","2010","6527","1661","1569","502","368","124","28","11","2264"
"Miraguaí (RS)","2010","4221","1661","897","215","182","97","21","12","1136"
"Montauri (RS)","2010","1417","298","461","266","167","90","8","8","118"
"Monte Alegre dos Campos (RS)","2010","2645","903","562","104","79","30","16","11","939"
"Monte Belo do Sul (RS)","2010","2457","551","697","350","226","118","17","4","495"
"Montenegro (RS)","2010","51547","10667","14341","5486","4050","2633","885","294","13191"
"Mormaço (RS)","2010","2366","925","479","144","134","51","22","6","606"
"Morrinhos do Sul (RS)","2010","2884","1106","665","243","126","69","4","8","664"
"Morro Redondo (RS)","2010","5580","2126","1317","352","243","154","50","23","1315"
"Morro Reuter (RS)","2010","5118","1062","2183","558","327","174","18","2","794"
"Mostardas (RS)","2010","10497","3791","2341","455","357","258","112","45","3139"
"Muçum (RS)","2010","4293","939","1588","524","395","190","28","18","612"
"Muitos Capões (RS)","2010","2550","735","729","170","121","81","15","13","687"
"Muliterno (RS)","2010","1601","522","364","133","114","45","16","7","402"
"Não-Me-Toque (RS)","2010","14091","3059","4530","1625","1156","649","205","86","2781"
"Nicolau Vergueiro (RS)","2010","1511","461","330","129","118","83","35","7","346"
"Nonoai (RS)","2010","10388","3911","2193","762","535","338","84","22","2542"
"Nova Alvorada (RS)","2010","2750","943","803","273","217","96","47","20","353"
"Nova Araçá (RS)","2010","3603","612","1265","518","355","180","60","29","585"
"Nova Bassano (RS)","2010","7884","1540","2280","1167","944","466","119","38","1330"
"Nova Boa Vista (RS)","2010","1800","449","510","174","135","86","18","15","412"
"Nova Bréscia (RS)","2010","2901","903","748","328","219","140","53","64","447"
"Nova Candelária (RS)","2010","2496","621","808","404","193","149","27","31","263"
"Nova Esperança do Sul (RS)","2010","4166","1451","1298","298","155","105","26","25","808"
"Nova Hartz (RS)","2010","15512","2918","7271","1143","637","300","33","14","3195"
"Nova Pádua (RS)","2010","2219","551","821","343","229","56","14","4","201"
"Nova Palma (RS)","2010","5609","1714","1325","417","454","303","43","44","1309"
"Nova Petrópolis (RS)","2010","16981","3334","6206","2059","1551","848","235","106","2641"
"Nova Prata (RS)","2010","20221","3345","6030","2739","2272","1157","304","182","4192"
"Nova Ramada (RS)","2010","2161","692","435","185","165","118","37","15","513"
"Nova Roma do Sul (RS)","2010","2992","723","1000","350","227","226","63","17","385"
"Nova Santa Rita (RS)","2010","19057","3449","5591","2085","1634","583","158","32","5525"
"Novo Cabrais (RS)","2010","3419","1420","900","221","133","72","20","6","647"
"Novo Hamburgo (RS)","2010","207801","38993","63540","21590","17204","10949","3682","1828","50015"
"Novo Machado (RS)","2010","3544","1583","763","154","200","67","3","-","774"
"Novo Tiradentes (RS)","2010","2000","895","490","140","89","27","5","-","354"
"Novo Xingu (RS)","2010","1574","561","449","143","121","89","12","5","195"
"Novo Barreiro (RS)","2010","3506","1530","730","183","92","61","5","31","874"
"Osório (RS)","2010","35706","8615","8660","3431","3229","2122","396","241","9011"
"Paim Filho (RS)","2010","3772","1278","1005","286","260","89","45","11","798"
"Palmares do Sul (RS)","2010","9609","2646","2293","729","524","278","66","56","3017"
"Palmeira das Missões (RS)","2010","29575","9303","5999","1978","1971","1069","425","151","8679"
"Palmitinho (RS)","2010","6081","2179","1558","423","364","181","28","14","1332"
"Panambi (RS)","2010","33194","6820","9401","3676","2730","1668","383","184","8331"
"Pantano Grande (RS)","2010","8476","2596","1895","505","326","168","36","14","2935"
"Paraí (RS)","2010","6112","1343","2071","800","526","205","62","49","1057"
"Paraíso do Sul (RS)","2010","6486","2514","1807","554","332","119","17","-","1142"
"Pareci Novo (RS)","2010","3158","948","999","385","184","68","11","16","547"
"Parobé (RS)","2010","43754","9413","17297","4094","2057","950","231","35","9677"
"Passa Sete (RS)","2010","4421","2382","882","202","113","29","6","2","805"
"Passo do Sobrado (RS)","2010","5309","1591","1498","465","278","126","45","17","1289"
"Passo Fundo (RS)","2010","160267","28898","45696","17486","14147","10173","3439","1511","38917"
"Paulo Bento (RS)","2010","1968","590","606","228","114","39","21","5","367"
"Paverama (RS)","2010","7094","2513","2527","563","318","101","23","6","1043"
"Pedras Altas (RS)","2010","1888","767","367","55","52","27","15","3","602"
"Pedro Osório (RS)","2010","6826","2533","1272","438","275","163","28","15","2102"
"Pejuçara (RS)","2010","3524","1012","856","273","234","131","31","7","979"
"Pelotas (RS)","2010","288984","73392","68833","24365","19603","13830","5010","2025","81925"
"Picada Café (RS)","2010","4645","879","1924","623","389","102","27","8","691"
"Pinhal (RS)","2010","2200","795","563","164","106","46","7","5","514"
"Pinhal da Serra (RS)","2010","1845","728","235","97","46","33","5","-","699"
"Pinhal Grande (RS)","2010","3918","1291","680","161","178","79","18","9","1503"
"Pinheirinho do Vale (RS)","2010","3900","1320","996","220","105","82","46","22","1110"
"Pinheiro Machado (RS)","2010","11246","4065","2339","727","446","330","60","15","3264"
"Pirapó (RS)","2010","2476","1120","504","141","97","45","5","-","563"
"Piratini (RS)","2010","17370","7485","3477","838","516","279","122","32","4621"
"Planalto (RS)","2010","9225","4152","1984","546","333","167","43","5","1995"
"Poço das Antas (RS)","2010","1820","516","688","194","96","48","25","1","252"
"Pontão (RS)","2010","3345","1022","713","178","135","82","23","35","1158"
"Ponte Preta (RS)","2010","1594","563","346","146","120","54","10","3","353"
"Portão (RS)","2010","26516","5422","8232","2506","1800","927","283","73","7272"
"Porto Alegre (RS)","2010","1246317","182302","281987","126372","126816","126506","64492","33297","304545"
"Porto Lucena (RS)","2010","4922","2244","1107","361","217","123","32","2","835"
"Porto Mauá (RS)","2010","2284","900","425","156","100","44","8","-","651"
"Porto Vera Cruz (RS)","2010","1662","797","344","75","84","16","-","-","346"
"Porto Xavier (RS)","2010","9262","3692","1927","626","373","187","52","32","2374"
"Pouso Novo (RS)","2010","1668","538","455","144","120","73","12","23","305"
"Presidente Lucena (RS)","2010","2210","523","951","244","134","54","3","3","300"
"Progresso (RS)","2010","5433","2094","1525","530","306","112","23","6","837"
"Protásio Alves (RS)","2010","1819","563","533","157","133","51","10","13","360"
"Putinga (RS)","2010","3725","1310","1041","307","259","152","39","16","602"
"Quaraí (RS)","2010","19582","7432","3940","893","685","364","227","32","6009"
"Quatro Irmãos (RS)","2010","1536","537","405","108","42","28","2","12","402"
"Quevedos (RS)","2010","2383","1034","393","99","71","48","18","7","713"
"Quinze de Novembro (RS)","2010","3239","990","829","418","314","174","63","13","438"
"Redentora (RS)","2010","7979","2992","1110","206","172","137","20","16","3327"
"Relvado (RS)","2010","1953","705","546","159","127","132","8","9","268"
"Restinga Sêca (RS)","2010","14065","4937","3179","845","587","386","81","32","4018"
"Rio dos Índios (RS)","2010","3202","1424","481","139","75","30","20","8","1024"
"Rio Grande (RS)","2010","171530","40548","37947","15143","12986","9304","3006","997","51598"
"Rio Pardo (RS)","2010","32695","10502","7516","2152","1724","845","231","77","9649"
"Riozinho (RS)","2010","3777","1293","1371","276","109","69","14","6","639"
"Roca Sales (RS)","2010","9115","2155","3736","932","644","285","61","33","1271"
"Rodeio Bonito (RS)","2010","5042","1846","1274","462","292","182","62","25","899"
"Rolador (RS)","2010","2254","954","502","120","107","35","6","4","526"
"Rolante (RS)","2010","16961","5171","6383","1356","940","436","77","16","2583"
"Ronda Alta (RS)","2010","8946","3464","1753","728","439","280","116","46","2120"
"Rondinha (RS)","2010","4963","1482","1157","527","411","261","132","37","957"
"Roque Gonzales (RS)","2010","6374","2552","1175","345","305","152","44","12","1788"
"Rosário do Sul (RS)","2010","34484","11974","7023","2040","1942","1002","344","127","10032"
"Sagrada Família (RS)","2010","2273","1066","347","74","94","15","-","10","667"
"Saldanha Marinho (RS)","2010","2600","781","700","204","214","130","29","6","537"
"Salto do Jacuí (RS)","2010","10093","3266","2188","665","541","311","88","13","3021"
"Salvador das Missões (RS)","2010","2433","907","707","176","142","70","10","-","423"
"Salvador do Sul (RS)","2010","5998","1391","2325","685","445","233","51","23","845"
"Sananduva (RS)","2010","13772","3930","3728","1664","1148","673","193","58","2378"
"Santa Bárbara do Sul (RS)","2010","7814","2067","2015","605","409","206","74","32","2407"
"Santa Cecília do Sul (RS)","2010","1472","331","376","130","172","60","46","11","346"
"Santa Clara do Sul (RS)","2010","5095","1174","2001","614","406","207","36","11","645"
"Santa Cruz do Sul (RS)","2010","104602","21113","31727","10871","9511","5914","2106","902","22458"
"Santa Maria (RS)","2010","229504","48958","52891","20668","19032","16054","6984","2618","62299"
"Santa Maria do Herval (RS)","2010","5474","1429","2499","483","285","73","16","5","684"
"Santa Margarida do Sul (RS)","2010","2056","754","428","100","62","38","14","11","650"
"Santana da Boa Vista (RS)","2010","7254","3384","1028","211","150","93","19","9","2360"
"Sant'Ana do Livramento (RS)","2010","71073","24604","14446","4230","3809","2491","785","402","20306"
"Santa Rosa (RS)","2010","60393","13912","17274","6141","4724","3048","924","232","14137"
"Santa Tereza (RS)","2010","1574","318","548","220","183","46","9","6","244"
"Santa Vitória do Palmar (RS)","2010","26696","9267","5476","1766","1152","713","267","158","7896"
"Santiago (RS)","2010","43203","13350","9663","3158","2752","2594","626","230","10830"
"Santo Ângelo (RS)","2010","66454","17968","16786","5828","4737","3310","1227","564","16034"
"Santo Antônio do Palma (RS)","2010","1924","440","535","235","161","86","34","18","415"
"Santo Antônio da Patrulha (RS)","2010","34701","11024","9990","2805","1611","919","400","29","7922"
"Santo Antônio das Missões (RS)","2010","9818","4319","2136","465","269","256","26","17","2331"
"Santo Antônio do Planalto (RS)","2010","1766","538","413","156","89","49","5","3","514"
"Santo Augusto (RS)","2010","12243","4172","2774","844","702","497","150","99","3005"
"Santo Cristo (RS)","2010","12967","3558","3792","1202","874","466","175","84","2814"
"Santo Expedito do Sul (RS)","2010","2196","913","422","170","95","27","5","-","563"
"São Borja (RS)","2010","53496","17079","11164","3556","2657","1821","570","336","16313"
"São Domingos do Sul (RS)","2010","2617","750","713","276","248","139","32","19","441"
"São Francisco de Assis (RS)","2010","16997","6846","3339","663","577","413","113","30","5016"
"São Francisco de Paula (RS)","2010","17471","5026","4491","1602","985","492","96","36","4743"
"São Gabriel (RS)","2010","52347","17464","10664","2990","2490","1902","620","234","15985"
"São Jerônimo (RS)","2010","19075","5661","4170","1558","1058","808","266","82","5473"
"São João da Urtiga (RS)","2010","4279","1535","970","335","194","119","42","-","1085"
"São João do Polêsine (RS)","2010","2397","866","620","134","122","84","25","14","532"
"São Jorge (RS)","2010","2489","753","680","209","195","113","23","17","498"
"São José das Missões (RS)","2010","2372","1100","499","129","61","35","6","3","539"
"São José do Herval (RS)","2010","1900","693","408","130","85","33","14","7","531"
"São José do Hortêncio (RS)","2010","3615","777","1541","453","220","65","-","-","560"
"São José do Inhacorá (RS)","2010","2016","684","698","224","117","47","13","-","233"
"São José do Norte (RS)","2010","22148","9518","4623","1126","829","342","125","-","5585"
"São José do Ouro (RS)","2010","6131","1986","1419","515","338","253","81","28","1511"
"São José do Sul (RS)","2010","1881","406","671","249","173","76","30","8","270"
"São José dos Ausentes (RS)","2010","2818","950","594","123","114","69","12","9","945"
"São Leopoldo (RS)","2010","184094","33620","52004","19632","14871","10096","3471","1188","49212"
"São Lourenço do Sul (RS)","2010","38316","13459","9489","3012","2003","1283","295","114","8662"
"São Luiz Gonzaga (RS)","2010","30132","9537","6692","2344","1808","1267","365","96","8024"
"São Marcos (RS)","2010","17843","2867","5475","2593","1857","947","238","89","3777"
"São Martinho (RS)","2010","5196","1866","1237","441","339","220","60","20","1013"
"São Martinho da Serra (RS)","2010","2851","1268","379","125","89","63","19","-","908"
"São Miguel das Missões (RS)","2010","6446","2541","1176","351","211","109","36","28","1995"
"São Nicolau (RS)","2010","4962","2268","921","202","144","96","12","15","1304"
"São Paulo das Missões (RS)","2010","5705","2587","1492","340","255","68","21","7","935"
"São Pedro da Serra (RS)","2010","2899","722","1000","398","176","88","11","9","495"
"São Pedro das Missões (RS)","2010","1623","698","254","94","50","25","6","-","496"
"São Pedro do Butiá (RS)","2010","2588","780","697","267","201","90","48","9","497"
"São Pedro do Sul (RS)","2010","14537","5488","3127","807","628","501","108","26","3852"
"São Sebastião do Caí (RS)","2010","19216","4294","6165","2093","1439","620","180","45","4379"
"São Sepé (RS)","2010","21036","7552","4330","1241","1012","781","198","59","5863"
"São Valentim (RS)","2010","3268","1189","926","244","166","71","46","31","595"
"São Valentim do Sul (RS)","2010","1987","494","582","195","174","107","21","12","402"
"São Valério do Sul (RS)","2010","2164","1034","334","98","100","67","1","8","522"
"São Vendelino (RS)","2010","1758","295","760","269","117","45","8","2","261"
"São Vicente do Sul (RS)","2010","7394","2972","1344","429","358","221","86","13","1970"
"Sapiranga (RS)","2010","63899","12781","25162","5921","4194","1841","469","212","13319"
"Sapucaia do Sul (RS)","2010","112294","20264","30480","13056","9106","4360","761","261","34006"
"Sarandi (RS)","2010","18632","4904","5580","1836","1332","784","347","174","3675"
"Seberi (RS)","2010","9531","3928","2019","565","488","186","42","57","2247"
"Sede Nova (RS)","2010","2618","994","535","184","138","127","41","15","585"
"Segredo (RS)","2010","6155","2526","1065","301","277","138","29","9","1811"
"Selbach (RS)","2010","4377","1185","1159","462","430","262","107","36","737"
"Senador Salgado Filho (RS)","2010","2509","977","590","175","119","44","27","3","575"
"Sentinela do Sul (RS)","2010","4539","1895","1104","196","118","57","24","8","1137"
"Serafina Corrêa (RS)","2010","12535","2232","4571","1750","1254","564","81","21","2062"
"Sério (RS)","2010","2060","975","607","149","96","33","4","2","195"
"Sertão (RS)","2010","5617","1703","1188","429","407","291","82","24","1494"
"Sertão Santana (RS)","2010","5107","1695","917","321","271","134","42","52","1675"
"Sete de Setembro (RS)","2010","1901","736","424","88","76","38","2","6","531"
"Severiano de Almeida (RS)","2010","3447","1268","1009","333","195","144","20","10","468"
"Silveira Martins (RS)","2010","2169","757","482","139","162","103","19","18","489"
"Sinimbu (RS)","2010","8904","3304","2361","593","441","144","45","20","1998"
"Sobradinho (RS)","2010","12484","3887","3041","1028","842","466","122","76","3021"
"Soledade (RS)","2010","25959","8256","6154","1764","1438","1003","264","161","6919"
"Tabaí (RS)","2010","3574","1239","1051","274","141","41","27","4","796"
"Tapejara (RS)","2010","17084","3813","5684","2000","1330","721","223","84","3230"
"Tapera (RS)","2010","9070","2361","2731","854","623","442","50","53","1957"
"Tapes (RS)","2010","14239","4957","3409","852","635","431","128","42","3785"
"Taquara (RS)","2010","47063","10585","14804","4655","3185","2061","751","233","10789"
"Taquari (RS)","2010","22692","5461","6307","1919","1513","927","160","83","6322"
"Taquaruçu do Sul (RS)","2010","2655","973","633","192","206","96","32","37","486"
"Tavares (RS)","2010","4714","1923","1210","281","169","130","33","-","968"
"Tenente Portela (RS)","2010","11650","3872","2402","767","627","403","120","56","3403"
"Terra de Areia (RS)","2010","8478","2758","2221","571","504","227","73","10","2115"
"Teutônia (RS)","2010","24063","5016","9077","3272","1945","1026","134","73","3520"
"Tio Hugo (RS)","2010","2379","676","698","210","107","58","20","8","602"
"Tiradentes do Sul (RS)","2010","5685","2393","1260","423","307","149","40","16","1098"
"Toropi (RS)","2010","2665","1131","658","156","106","33","16","-","565"
"Torres (RS)","2010","30331","7507","7786","2966","2220","1533","474","135","7711"
"Tramandaí (RS)","2010","35273","8115","9056","2975","2422","1496","413","120","10675"
"Travesseiro (RS)","2010","2107","709","706","289","128","47","11","2","215"
"Três Arroios (RS)","2010","2621","845","762","315","210","103","48","37","299"
"Três Cachoeiras (RS)","2010","9013","2494","2401","856","576","303","50","24","2309"
"Três Coroas (RS)","2010","20581","3936","8570","2485","1281","604","157","104","3444"
"Três de Maio (RS)","2010","21162","6224","5689","2054","1646","900","201","121","4328"
"Três Forquilhas (RS)","2010","2565","1044","648","106","89","32","6","3","637"
"Três Palmeiras (RS)","2010","3839","1544","943","201","142","101","60","44","805"
"Três Passos (RS)","2010","21391","6313","6280","2048","1476","825","226","128","4096"
"Trindade do Sul (RS)","2010","5037","1850","1130","260","191","100","26","13","1467"
"Triunfo (RS)","2010","22127","5657","5826","2116","1590","889","134","33","5883"
"Tucunduva (RS)","2010","5335","1820","1206","505","351","255","53","14","1131"
"Tunas (RS)","2010","3795","1611","663","274","161","61","19","3","1003"
"Tupanci do Sul (RS)","2010","1399","512","253","77","77","28","12","2","438"
"Tupanciretã (RS)","2010","19054","6352","3888","1257","865","587","246","116","5741"
"Tupandi (RS)","2010","3465","671","1438","556","212","140","13","-","436"
"Tuparendi (RS)","2010","7872","2707","1977","653","471","181","38","63","1783"
"Turuçu (RS)","2010","3084","1243","671","178","94","38","41","6","812"
"Ubiretama (RS)","2010","2077","762","644","124","121","37","4","-","385"
"União da Serra (RS)","2010","1376","291","488","188","161","83","14","5","147"
"Unistalda (RS)","2010","2175","939","360","65","59","21","-","2","729"
"Uruguaiana (RS)","2010","104880","27332","23506","7156","5860","3680","1252","733","35360"
"Vacaria (RS)","2010","52287","12647","13845","4383","3361","2354","732","240","14726"
"Vale Verde (RS)","2010","2850","1087","613","140","78","21","6","2","902"
"Vale do Sol (RS)","2010","9739","4271","2043","547","376","184","57","20","2241"
"Vale Real (RS)","2010","4486","677","1765","756","341","152","22","2","771"
"Vanini (RS)","2010","1778","551","582","144","167","62","4","2","266"
"Venâncio Aires (RS)","2010","58438","16481","18674","4888","3674","2029","447","250","11995"
"Vera Cruz (RS)","2010","21028","6353","6239","1961","1348","690","163","87","4189"
"Veranópolis (RS)","2010","20580","3148","6781","2677","1917","1261","427","234","4136"
"Vespasiano Corrêa (RS)","2010","1791","451","591","297","155","70","15","9","203"
"Viadutos (RS)","2010","4790","1855","1324","309","278","150","28","6","839"
"Viamão (RS)","2010","203635","43799","57381","19998","13270","6834","1782","514","60056"
"Vicente Dutra (RS)","2010","4492","1915","769","185","166","69","25","6","1360"
"Victor Graeff (RS)","2010","2676","751","757","222","239","151","41","26","490"
"Vila Flores (RS)","2010","2931","770","1063","299","152","91","17","-","538"
"Vila Lângaro (RS)","2010","1929","582","384","187","181","103","18","8","468"
"Vila Maria (RS)","2010","3830","854","1158","604","504","177","71","19","442"
"Vila Nova do Sul (RS)","2010","3694","1468","669","157","103","47","7","3","1241"
"Vista Alegre (RS)","2010","2503","784","495","214","118","117","48","10","715"
"Vista Alegre do Prata (RS)","2010","1428","377","399","205","175","77","27","10","158"
"Vista Gaúcha (RS)","2010","2462","758","693","151","146","58","26","38","591"
"Vitória das Missões (RS)","2010","3093","1450","528","111","112","55","16","-","821"
"Westfália (RS)","2010","2525","350","900","377","450","188","15","14","232"
"Xangri-lá (RS)","2010","10472","2033","3166","1268","819","496","110","28","2553"
"Água Clara (MS)","2010","11781","2516","3187","1023","674","369","99","34","3879"
"Alcinópolis (MS)","2010","3871","1115","957","328","245","115","24","17","1069"
"Amambai (MS)","2010","27932","9078","5548","1536","1463","772","283","79","9172"
"Anastácio (MS)","2010","19929","7115","3757","1173","746","536","131","9","6462"
"Anaurilândia (MS)","2010","7166","2309","1595","361","323","223","44","10","2301"
"Angélica (MS)","2010","7776","2377","1959","632","493","171","37","17","2089"
"Antônio João (MS)","2010","6540","2567","1115","179","191","117","32","25","2313"
"Aparecida do Taboado (MS)","2010","19157","5524","5525","1418","1076","613","135","81","4786"
"Aquidauana (MS)","2010","37819","12031","7572","1887","1532","1207","406","102","13082"
"Aral Moreira (MS)","2010","8040","2713","1547","219","220","135","28","19","3160"
"Bandeirantes (MS)","2010","5648","1736","1327","303","243","166","41","27","1804"
"Bataguassu (MS)","2010","16549","4943","4327","1020","881","491","96","66","4725"
"Batayporã (MS)","2010","9209","2858","2327","596","435","159","40","36","2758"
"Bela Vista (MS)","2010","18914","6927","3098","818","708","724","137","136","6367"
"Bodoquena (MS)","2010","6659","2309","1335","325","287","116","29","21","2236"
"Bonito (MS)","2010","16310","5499","3977","940","799","597","159","91","4248"
"Brasilândia (MS)","2010","9901","2735","2585","820","597","249","71","50","2793"
"Caarapó (MS)","2010","20886","6273","4393","1613","1300","493","110","54","6650"
"Camapuã (MS)","2010","11729","3562","2747","927","610","391","82","61","3349"
"Campo Grande (MS)","2010","673730","140234","169873","59642","51621","43957","16681","7865","183857"
"Caracol (MS)","2010","4529","1677","943","156","117","74","17","-","1544"
"Cassilândia (MS)","2010","18170","5837","4300","1510","1044","650","164","124","4541"
"Chapadão do Sul (MS)","2010","16421","2769","4010","2126","1664","906","268","122","4556"
"Corguinho (MS)","2010","4114","1336","900","190","206","67","14","21","1379"
"Coronel Sapucaia (MS)","2010","11023","3880","1457","379","277","202","45","-","4783"
"Corumbá (MS)","2010","85366","23581","16404","5064","4292","3657","1043","378","30947"
"Costa Rica (MS)","2010","16790","4941","3875","1680","1064","552","135","69","4475"
"Coxim (MS)","2010","27504","8743","5869","1703","1700","1113","381","116","7879"
"Deodápolis (MS)","2010","10303","3520","2376","782","528","332","66","15","2685"
"Dois Irmãos do Buriti (MS)","2010","8607","2837","1499","271","249","106","23","49","3572"
"Douradina (MS)","2010","4473","1480","914","251","181","98","30","27","1493"
"Dourados (MS)","2010","165397","36729","42882","14335","10663","7971","3235","1235","48347"
"Eldorado (MS)","2010","9788","3346","2252","487","346","244","48","16","3049"
"Fátima do Sul (MS)","2010","16547","6154","3534","903","829","589","173","76","4289"
"Figueirão (MS)","2010","2468","642","667","195","111","22","14","12","805"
"Glória de Dourados (MS)","2010","8616","3087","1788","583","454","285","69","28","2321"
"Guia Lopes da Laguna (MS)","2010","8695","3207","1671","490","223","176","39","35","2855"
"Iguatemi (MS)","2010","12349","4108","2776","711","341","289","68","42","4013"
"Inocência (MS)","2010","6543","1773","1666","468","275","217","67","16","2061"
"Itaporã (MS)","2010","16802","5918","3253","848","587","351","129","40","5676"
"Itaquiraí (MS)","2010","15476","5061","2825","560","393","260","54","16","6306"
"Ivinhema (MS)","2010","19289","6617","4189","1459","841","686","188","75","5235"
"Japorã (MS)","2010","5646","1861","621","146","114","59","6","7","2833"
"Jaraguari (MS)","2010","5438","1842","1412","254","189","91","23","9","1617"
"Jardim (MS)","2010","20351","6524","4078","1253","1035","835","228","114","6283"
"Jateí (MS)","2010","3381","1065","767","170","141","75","47","15","1102"
"Juti (MS)","2010","4872","1454","878","342","168","80","18","12","1920"
"Ladário (MS)","2010","15873","4356","2539","996","847","778","162","42","6153"
"Laguna Carapã (MS)","2010","5228","1764","982","339","238","172","51","11","1671"
"Maracaju (MS)","2010","31486","7189","6990","2703","2321","922","489","262","10610"
"Miranda (MS)","2010","20795","7446","3494","697","657","413","108","52","7929"
"Mundo Novo (MS)","2010","14624","4571","3424","783","702","594","95","51","4405"
"Naviraí (MS)","2010","39142","9888","10284","3339","2329","1482","305","182","11333"
"Nioaque (MS)","2010","11823","3971","1906","579","343","309","66","37","4613"
"Nova Alvorada do Sul (MS)","2010","13471","2805","3464","1424","898","387","116","94","4284"
"Nova Andradina (MS)","2010","38250","10498","10365","3029","2069","1430","499","117","10243"
"Novo Horizonte do Sul (MS)","2010","4206","1469","1040","267","143","63","14","-","1211"
"Paranaíba (MS)","2010","34875","11102","8682","2686","1795","1345","379","201","8685"
"Paranhos (MS)","2010","9012","3523","909","248","175","91","38","10","4018"
"Pedro Gomes (MS)","2010","6811","2409","1328","366","291","177","35","9","2196"
"Ponta Porã (MS)","2010","63473","21252","11369","3510","2845","2228","713","478","21079"
"Porto Murtinho (MS)","2010","12446","3938","2591","589","415","209","72","45","4588"
"Ribas do Rio Pardo (MS)","2010","17250","4408","4627","1175","834","518","63","50","5575"
"Rio Brilhante (MS)","2010","25178","6012","5717","2470","1594","1011","187","104","8082"
"Rio Negro (MS)","2010","4294","1631","822","264","196","88","21","14","1258"
"Rio Verde de Mato Grosso (MS)","2010","15893","5744","4025","915","626","438","95","36","4014"
"Rochedo (MS)","2010","4147","1235","1073","266","132","130","5","18","1288"
"Santa Rita do Pardo (MS)","2010","6087","1817","1545","415","181","108","30","2","1989"
"São Gabriel do Oeste (MS)","2010","18631","4345","5217","1667","1270","740","180","186","5025"
"Sete Quedas (MS)","2010","8988","3677","1344","445","279","170","35","18","3020"
"Selvíria (MS)","2010","5420","1612","1319","303","252","112","9","8","1805"
"Sidrolândia (MS)","2010","34915","9914","8945","2041","1219","693","271","200","11632"
"Sonora (MS)","2010","12195","2811","3322","1124","606","362","121","59","3791"
"Tacuru (MS)","2010","7868","2712","1069","313","222","82","16","40","3414"
"Taquarussu (MS)","2010","2943","1114","694","174","117","30","11","-","803"
