"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Caibaté (RS)","2018","203","198","1024","841","842.57","29162","2.8","2662.33"
"Caiçara (RS)","2018","136","133","540","413","412.26","11185","2.2","2086.98"
"Camaquã (RS)","2018","2039","1962","13489","10739","10862.91","315619","2.3","2234.98"
"Camargo (RS)","2018","109","107","715","608","619.75","19251","2.5","2389.40"
"Cambará do Sul (RS)","2018","314","304","1850","1458","1574.31","41577","2.1","2031.50"
"Campestre da Serra (RS)","2018","109","109","572","440","461.86","14393","2.5","2397.19"
"Campina das Missões (RS)","2018","265","254","912","717","737.74","19675","2.2","2051.49"
"Campinas do Sul (RS)","2018","288","279","1237","837","848.92","26610","2.5","2411.21"
"Campo Bom (RS)","2018","3067","2992","25823","21641","22042.13","702880","2.6","2452.92"
"Campo Novo (RS)","2018","202","192","1379","1002","980.08","28589","2.4","2243.85"
"Campos Borges (RS)","2018","139","137","618","484","492.97","12301","2.0","1919.38"
"Candelária (RS)","2018","794","775","5742","4826","5088.01","130272","2.1","1969.51"
"Cândido Godói (RS)","2018","258","249","1263","1102","1068.47","32308","2.4","2326.00"
"Candiota (RS)","2018","228","219","4253","4025","3360.25","174671","4.2","3998.58"
"Canela (RS)","2018","2179","2113","11783","8970","8962.28","278131","2.5","2387.19"
"Canguçu (RS)","2018","1231","1176","5823","4630","4856.44","135421","2.2","2144.99"
"Canoas (RS)","2018","12231","11626","96764","81683","83760.58","3293422","3.2","3024.57"
"Canudos do Vale (RS)","2018","69","69","249","166","148.39","4515","2.5","2340.33"
"Capão Bonito do Sul (RS)","2018","40","38","252","212","223.74","8585","3.1","2951.41"
"Capão da Canoa (RS)","2018","3365","3271","15618","12204","11291.39","312113","2.2","2126.28"
"Capão do Cipó (RS)","2018","64","64","352","299","302.43","12040","3.2","3062.37"
"Capão do Leão (RS)","2018","474","463","3619","3074","3163.12","90339","2.3","2196.93"
"Capivari do Sul (RS)","2018","166","164","1198","969","927.98","28494","2.5","2361.98"
"Capela de Santana (RS)","2018","272","266","1643","1310","1304.12","33716","2.1","1988.74"
"Capitão (RS)","2018","109","109","626","482","458.83","10762","1.9","1804.21"
"Carazinho (RS)","2018","2585","2450","16129","13250","13238.50","406827","2.5","2363.89"
"Caraá (RS)","2018","147","142","1227","1086","1113.97","22545","1.6","1556.80"
"Carlos Barbosa (RS)","2018","1628","1567","14387","11992","12038.72","494057","3.3","3156.84"
"Carlos Gomes (RS)","2018","39","39","207","162","161.27","4380","2.2","2089.19"
"Casca (RS)","2018","640","628","3753","2726","2716.91","75828","2.3","2146.91"
"Caseiros (RS)","2018","119","117","531","416","421.34","12186","2.3","2224.85"
"Catuípe (RS)","2018","319","307","1378","1077","1088.93","27935","2.1","1973.37"
"Caxias do Sul (RS)","2018","27803","26467","195451","153026","154011.78","5907486","3.1","2950.57"
"Centenário (RS)","2018","86","85","326","242","245.08","7359","2.4","2309.80"
"Cerrito (RS)","2018","95","91","499","408","427.94","10985","2.1","1974.49"
"Cerro Branco (RS)","2018","101","100","455","383","388.16","11388","2.4","2256.87"
"Cerro Grande (RS)","2018","64","63","339","267","264.04","6742","2.1","1964.06"
"Cerro Grande do Sul (RS)","2018","225","221","1124","867","872.46","23635","2.2","2083.83"
"Cerro Largo (RS)","2018","591","573","3657","2969","2947.51","89801","2.5","2343.59"
"Chapada (RS)","2018","400","388","2390","1931","1895.52","50093","2.1","2032.85"
"Charqueadas (RS)","2018","932","881","7411","6502","6483.38","232588","2.9","2759.57"
"Charrua (RS)","2018","60","59","267","189","197.40","6405","2.6","2495.89"
"Chiapetta (RS)","2018","121","119","699","564","568.21","14644","2.1","1982.47"
"Chuí (RS)","2018","374","340","2169","1731","1677.58","37283","1.8","1709.58"
"Chuvisca (RS)","2018","87","87","364","298","306.47","9162","2.4","2299.53"
"Cidreira (RS)","2018","345","340","2619","2251","2007.34","51067","2.1","1956.95"
"Ciríaco (RS)","2018","177","176","732","521","517.56","12761","2.0","1896.60"
"Colinas (RS)","2018","155","154","543","381","397.38","10461","2.1","2024.92"
"Colorado (RS)","2018","124","118","643","524","503.28","17754","2.8","2713.61"
"Condor (RS)","2018","249","239","1937","1542","1505.87","47385","2.5","2420.51"
"Constantina (RS)","2018","566","555","2667","1916","1907.70","45892","1.9","1850.49"
"Coqueiro Baixo (RS)","2018","57","57","196","127","125.52","4103","2.6","2514.57"
"Coqueiros do Sul (RS)","2018","82","78","344","256","263.47","8317","2.5","2428.12"
"Coronel Barros (RS)","2018","111","110","493","371","380.80","13234","2.8","2673.28"
"Coronel Bicaco (RS)","2018","172","163","909","728","736.80","20993","2.3","2191.67"
"Coronel Pilar (RS)","2018","60","60","210","126","121.08","4651","3.1","2954.51"
"Cotiporã (RS)","2018","183","181","937","691","700.95","20141","2.3","2210.27"
"Coxilha (RS)","2018","89","86","597","502","492.08","20007","3.3","3127.56"
"Crissiumal (RS)","2018","484","469","2634","2176","2246.41","54689","2.0","1872.71"
"Cristal (RS)","2018","227","220","2441","2213","2197.10","62239","2.3","2179.05"
"Cristal do Sul (RS)","2018","59","59","266","213","230.30","5597","2.0","1869.59"
"Cruz Alta (RS)","2018","1966","1854","13748","11584","11795.06","358803","2.5","2339.98"
"Cruzaltense (RS)","2018","56","56","244","191","198.97","6106","2.5","2360.57"
"Cruzeiro do Sul (RS)","2018","549","532","3464","2869","2758.20","83268","2.4","2322.25"
"David Canabarro (RS)","2018","239","234","938","596","606.91","15276","2.0","1936.21"
"Derrubadas (RS)","2018","73","70","319","271","310.49","9304","2.4","2305.00"
"Dezesseis de Novembro (RS)","2018","39","38","202","179","181.41","5775","2.6","2448.69"
"Dilermando de Aguiar (RS)","2018","53","53","291","253","257.97","9404","2.9","2804.07"
"Dois Irmãos (RS)","2018","1378","1299","13547","11676","12436.56","362478","2.4","2242.01"
"Dois Irmãos das Missões (RS)","2018","48","46","283","261","270.17","8200","2.4","2334.84"
"Dois Lajeados (RS)","2018","206","205","748","474","486.86","14646","2.4","2313.98"
"Dom Feliciano (RS)","2018","218","215","1178","942","996.45","25944","2.1","2002.84"
"Dom Pedro de Alcântara (RS)","2018","81","81","473","373","380.73","10531","2.2","2127.65"
"Dom Pedrito (RS)","2018","1027","972","6011","4886","5057.31","136552","2.2","2077.00"
"Dona Francisca (RS)","2018","92","87","543","435","437.51","11747","2.2","2065.33"
"Doutor Maurício Cardoso (RS)","2018","132","125","649","554","558.41","17025","2.5","2345.21"
"Doutor Ricardo (RS)","2018","111","107","506","329","296.58","7725","2.1","2003.51"
"Eldorado do Sul (RS)","2018","846","820","16952","15895","15368.93","768832","4.0","3848.08"
"Encantado (RS)","2018","1538","1497","9691","7502","7405.25","206285","2.2","2142.81"
"Encruzilhada do Sul (RS)","2018","579","562","3941","3291","3291.37","92286","2.3","2156.82"
"Engenho Velho (RS)","2018","35","35","100","56","59.25","1319","1.8","1712.11"
"Entre-Ijuís (RS)","2018","237","221","1385","1156","1162.82","35604","2.5","2355.27"
"Entre Rios do Sul (RS)","2018","109","108","487","387","390.63","12336","2.5","2429.13"
"Erebango (RS)","2018","92","91","410","305","328.27","10975","2.7","2571.75"
"Erechim (RS)","2018","5707","5403","42747","34465","34712.64","1087867","2.5","2410.71"
"Ernestina (RS)","2018","183","179","763","514","526.90","13830","2.1","2019.05"
"Herval (RS)","2018","123","121","723","598","594.78","14890","2.0","1925.78"
"Erval Grande (RS)","2018","170","167","683","542","554.04","14363","2.1","1994.15"
"Erval Seco (RS)","2018","236","230","931","731","720.44","20464","2.3","2184.95"
"Esmeralda (RS)","2018","98","90","570","468","450.67","15318","2.7","2614.50"
"Esperança do Sul (RS)","2018","64","62","383","310","320.59","9564","2.4","2294.71"
"Espumoso (RS)","2018","723","695","3707","2796","2925.77","90352","2.5","2375.50"
"Estação (RS)","2018","285","275","2189","1850","1822.67","61017","2.7","2575.14"
"Estância Velha (RS)","2018","2069","2043","15544","12634","12938.92","350387","2.2","2083.08"
"Esteio (RS)","2018","2686","2606","20361","17080","17973.15","631957","2.8","2704.71"
"Estrela (RS)","2018","1848","1815","12654","10076","10489.24","313864","2.4","2301.73"
"Estrela Velha (RS)","2018","81","78","514","435","470.55","14862","2.5","2429.60"
"Eugênio de Castro (RS)","2018","69","67","352","285","291.96","10796","3.0","2844.49"
"Fagundes Varela (RS)","2018","126","123","722","512","509.32","14807","2.3","2236.38"
"Farroupilha (RS)","2018","3873","3634","30147","24486","25378.51","900031","2.9","2728.02"
"Faxinal do Soturno (RS)","2018","328","325","1746","1295","1247.05","33700","2.2","2078.76"
"Faxinalzinho (RS)","2018","67","64","289","244","240.29","6547","2.2","2095.72"
"Fazenda Vilanova (RS)","2018","143","143","791","618","634.38","16001","2.0","1940.24"
"Feliz (RS)","2018","763","745","4753","3664","3688.16","100790","2.2","2102.14"
"Flores da Cunha (RS)","2018","2314","2258","13510","10095","10106.05","348269","2.8","2650.88"
"Floriano Peixoto (RS)","2018","59","58","260","198","198.08","5681","2.3","2206.19"
"Fontoura Xavier (RS)","2018","266","263","1656","1285","1308.36","37525","2.3","2206.25"
"Formigueiro (RS)","2018","125","121","785","661","684.61","19417","2.3","2181.74"
"Forquetinha (RS)","2018","92","92","419","325","332.06","7599","1.8","1760.31"
"Fortaleza dos Valos (RS)","2018","179","173","707","543","556.47","18033","2.6","2492.73"
"Frederico Westphalen (RS)","2018","1644","1596","10689","8630","8717.51","235158","2.2","2075.02"
"Garibaldi (RS)","2018","2480","2412","16891","13444","13472.14","441303","2.6","2519.75"
"Garruchos (RS)","2018","53","53","314","279","283.60","14523","4.1","3939.21"
"Gaurama (RS)","2018","285","281","1184","879","909.24","25374","2.3","2146.71"
"General Câmara (RS)","2018","173","169","750","570","584.93","13582","1.9","1786.12"
"Gentil (RS)","2018","63","62","362","283","292.16","7980","2.2","2101.17"
"Getúlio Vargas (RS)","2018","1003","976","5289","3971","3749.99","111480","2.4","2286.77"
"Giruá (RS)","2018","679","645","3211","2658","2691.89","76288","2.3","2179.99"
"Glorinha (RS)","2018","279","275","2404","2061","2195.56","73669","2.7","2581.04"
"Gramado (RS)","2018","3643","3411","23688","18535","17945.39","584548","2.6","2505.67"
"Gramado dos Loureiros (RS)","2018","39","39","221","186","205.15","6166","2.4","2311.99"
"Gramado Xavier (RS)","2018","84","83","354","267","275.44","8727","2.6","2437.13"
"Gravataí (RS)","2018","6842","6518","61239","52705","52831.75","1979147","3.0","2881.64"
"Guabiju (RS)","2018","99","99","346","235","244.47","6780","2.2","2133.39"
"Guaíba (RS)","2018","2183","2091","19260","16544","16898.85","722349","3.4","3288.11"
"Guaporé (RS)","2018","1957","1882","11408","8324","8342.17","219075","2.1","2020.09"
"Guarani das Missões (RS)","2018","240","236","1302","1015","1042.12","29843","2.3","2202.87"
"Harmonia (RS)","2018","275","271","1534","1265","1233.55","38243","2.5","2384.78"
"Herveiras (RS)","2018","59","59","248","195","199.87","6709","2.7","2581.97"
"Horizontina (RS)","2018","799","775","6573","5587","5583.12","259110","3.7","3569.97"
"Hulha Negra (RS)","2018","78","75","2185","2113","2056.11","53444","2.1","1999.43"
"Humaitá (RS)","2018","196","191","929","731","739.10","18347","2.0","1909.46"
"Ibarama (RS)","2018","100","99","412","339","380.60","9770","2.1","1974.69"
"Ibiaçá (RS)","2018","230","226","1007","682","683.98","19138","2.3","2152.34"
"Ibiraiaras (RS)","2018","273","265","1345","1011","1024.99","30960","2.4","2323.46"
"Ibirapuitã (RS)","2018","97","96","503","390","378.06","10612","2.3","2159.16"
"Ibirubá (RS)","2018","978","937","7071","5750","5856.28","201984","2.8","2653.09"
"Igrejinha (RS)","2018","1594","1562","14041","11853","12578.16","336433","2.2","2057.49"
"Ijuí (RS)","2018","4257","4056","27360","21631","21551.65","739922","2.8","2640.96"
"Ilópolis (RS)","2018","225","222","990","626","628.26","16160","2.1","1978.62"
"Imbé (RS)","2018","679","665","4572","3749","3429.16","86851","2.0","1948.25"
"Imigrante (RS)","2018","149","148","1173","976","1016.30","34595","2.7","2618.46"
"Independência (RS)","2018","159","151","1031","891","882.01","27530","2.5","2401.00"
"Inhacorá (RS)","2018","35","32","288","248","249.52","6383","2.1","1967.83"
"Ipê (RS)","2018","313","308","1249","923","908.82","24425","2.2","2067.35"
"Ipiranga do Sul (RS)","2018","89","88","336","238","247.80","8716","2.8","2705.62"
"Iraí (RS)","2018","210","205","943","721","734.87","17716","1.9","1854.45"
"Itaara (RS)","2018","133","131","750","590","571.21","16842","2.4","2268.08"
"Itacurubi (RS)","2018","58","58","321","280","280.16","7731","2.2","2122.63"
"Itapuca (RS)","2018","67","67","229","169","175.29","5074","2.3","2226.64"
"Itaqui (RS)","2018","996","948","6712","5660","5868.73","170159","2.3","2230.32"
"Itati (RS)","2018","63","62","374","316","301.86","7535","2.0","1920.10"
"Itatiba do Sul (RS)","2018","116","115","404","286","290.52","7396","2.1","1958.29"
"Ivorá (RS)","2018","57","56","234","178","177.36","6569","3.0","2849.22"
"Ivoti (RS)","2018","1204","1171","9363","7622","7568.36","234711","2.5","2385.55"
"Jaboticaba (RS)","2018","124","120","480","362","375.62","10256","2.2","2100.42"
"Jacuizinho (RS)","2018","32","32","262","228","236.44","6778","2.3","2205.25"
"Jacutinga (RS)","2018","157","155","763","525","545.60","14632","2.2","2063.01"
"Jaguarão (RS)","2018","853","811","4365","3387","3357.09","88571","2.1","2029.49"
"Jaguari (RS)","2018","332","318","1696","1325","1231.62","33973","2.2","2121.82"
"Jaquirana (RS)","2018","109","103","748","639","649.94","15836","2.0","1874.21"
"Jari (RS)","2018","29","28","301","272","276.24","9059","2.6","2522.48"
"Jóia (RS)","2018","170","165","703","588","625.55","22891","3.0","2814.87"
"Júlio de Castilhos (RS)","2018","650","611","3393","2641","2659.17","80260","2.4","2321.73"
"Lagoa Bonita do Sul (RS)","2018","40","40","213","179","194.42","5038","2.1","1993.33"
"Lagoão (RS)","2018","87","86","425","349","359.30","8971","2.0","1920.61"
"Lagoa dos Três Cantos (RS)","2018","83","81","389","286","297.43","9937","2.7","2569.93"
"Lagoa Vermelha (RS)","2018","1168","1131","6965","5525","5656.95","145059","2.1","1972.50"
"Lajeado (RS)","2018","6159","5896","43701","34768","35392.24","1068700","2.4","2322.76"
"Lajeado do Bugre (RS)","2018","27","27","269","249","261.58","6663","2.1","1959.25"
"Lavras do Sul (RS)","2018","158","151","935","800","809.54","21392","2.1","2032.70"
"Liberato Salzano (RS)","2018","168","164","674","497","504.12","12989","2.1","1981.99"
"Lindolfo Collor (RS)","2018","154","149","2363","2184","2297.43","63282","2.2","2118.81"
"Linha Nova (RS)","2018","62","61","287","225","228.82","6565","2.3","2206.97"
"Machadinho (RS)","2018","273","268","1058","772","741.25","19384","2.1","2011.58"
"Maçambará (RS)","2018","53","50","410","365","377.79","11597","2.5","2361.26"
"Mampituba (RS)","2018","50","50","264","215","239.51","6427","2.2","2064.24"
"Manoel Viana (RS)","2018","163","160","788","623","634.38","17093","2.2","2072.69"
"Maquiné (RS)","2018","179","177","926","764","751.99","18853","2.0","1928.56"
"Maratá (RS)","2018","120","120","583","449","443.38","11646","2.1","2020.54"
"Marau (RS)","2018","2103","2027","16284","13593","13962.02","421684","2.4","2323.25"
"Marcelino Ramos (RS)","2018","230","226","984","691","693.73","19527","2.3","2165.27"
"Mariana Pimentel (RS)","2018","62","62","339","281","291.24","8473","2.3","2237.81"
"Mariano Moro (RS)","2018","96","96","406","318","318.60","9196","2.3","2220.27"
"Marques de Souza (RS)","2018","248","246","820","573","573.24","13925","2.0","1868.66"
"Mata (RS)","2018","165","163","722","466","471.11","12927","2.2","2110.76"
"Mato Castelhano (RS)","2018","83","81","387","287","320.92","9258","2.3","2219.17"
"Mato Leitão (RS)","2018","280","280","1986","1646","1770.36","44599","2.0","1937.85"
"Mato Queimado (RS)","2018","46","46","237","202","199.43","5962","2.4","2299.66"
"Maximiliano de Almeida (RS)","2018","183","182","750","552","556.82","13396","1.9","1850.69"
"Minas do Leão (RS)","2018","204","204","1188","952","973.09","27302","2.3","2158.19"
"Miraguaí (RS)","2018","162","160","1311","1177","1195.46","26248","1.8","1688.96"
"Montauri (RS)","2018","89","87","414","290","287.89","8491","2.4","2268.63"
"Monte Alegre dos Campos (RS)","2018","35","34","306","271","290.85","7427","2.1","1964.32"
"Monte Belo do Sul (RS)","2018","115","114","489","368","373.78","13061","2.8","2687.88"
"Montenegro (RS)","2018","2600","2493","23011","19893","19357.80","686035","2.9","2726.13"
"Mormaço (RS)","2018","83","83","381","308","328.52","9203","2.3","2154.79"
"Morrinhos do Sul (RS)","2018","129","129","381","289","321.68","9552","2.4","2284.05"
"Morro Redondo (RS)","2018","125","122","1287","1142","716.94","17642","2.0","1892.85"
"Morro Reuter (RS)","2018","252","249","1959","1631","1703.87","43154","2.0","1948.22"
"Mostardas (RS)","2018","304","297","2273","1916","1883.42","44851","1.9","1831.83"
"Muçum (RS)","2018","310","305","2601","2091","2134.88","46904","1.8","1690.04"
"Muitos Capões (RS)","2018","64","63","532","449","450.51","14253","2.6","2433.61"
"Muliterno (RS)","2018","65","65","174","103","107.07","2359","1.8","1694.58"
"Não-Me-Toque (RS)","2018","907","867","8175","6963","6923.15","268638","3.1","2984.84"
"Nicolau Vergueiro (RS)","2018","79","76","302","220","231.91","7532","2.6","2498.42"
"Nonoai (RS)","2018","385","375","2239","1850","1836.21","50294","2.2","2106.91"
"Nova Alvorada (RS)","2018","218","213","1252","958","961.49","32843","2.8","2627.61"
"Nova Araçá (RS)","2018","293","289","2483","2105","2011.39","52874","2.1","2022.09"
"Nova Bassano (RS)","2018","586","568","4624","3696","3612.43","125427","2.8","2670.84"
"Nova Boa Vista (RS)","2018","101","98","557","465","467.41","14131","2.4","2325.57"
"Nova Bréscia (RS)","2018","169","169","810","481","483.70","13752","2.3","2186.95"
"Nova Candelária (RS)","2018","162","158","1069","918","926.00","27713","2.4","2302.13"
"Nova Esperança do Sul (RS)","2018","199","197","1905","1713","1788.10","39399","1.8","1694.92"
"Nova Hartz (RS)","2018","642","624","7387","6632","7061.06","161182","1.8","1755.91"
"Nova Pádua (RS)","2018","117","116","518","325","324.90","10582","2.6","2505.44"
"Nova Palma (RS)","2018","285","273","1216","919","967.32","30505","2.5","2425.83"
"Nova Petrópolis (RS)","2018","1569","1451","8773","6863","7121.61","206548","2.3","2231.00"
"Nova Prata (RS)","2018","1836","1794","11312","8779","8612.09","265637","2.5","2372.66"
"Nova Ramada (RS)","2018","77","76","306","244","256.65","9433","3.0","2827.17"
"Nova Roma do Sul (RS)","2018","168","167","803","560","550.74","18811","2.8","2627.39"
"Nova Santa Rita (RS)","2018","732","717","8566","7768","7411.60","272992","3.0","2833.31"
"Novo Cabrais (RS)","2018","129","128","454","347","359.16","9874","2.2","2114.75"
"Novo Hamburgo (RS)","2018","13736","13211","88464","69490","72323.68","2302856","2.6","2449.31"
"Novo Machado (RS)","2018","84","75","350","312","319.85","10337","2.6","2486.10"
"Novo Tiradentes (RS)","2018","64","62","258","230","225.88","6701","2.4","2282.13"
"Novo Xingu (RS)","2018","67","66","243","189","218.37","6296","2.3","2217.96"
"Novo Barreiro (RS)","2018","131","129","557","439","444.75","11782","2.1","2037.75"
"Osório (RS)","2018","1816","1744","13276","11069","11128.87","365370","2.6","2525.45"
"Paim Filho (RS)","2018","180","175","744","496","495.45","12549","2.0","1948.40"
"Palmares do Sul (RS)","2018","342","331","2042","1643","1573.97","46286","2.4","2262.09"
"Palmeira das Missões (RS)","2018","1203","1154","6288","4937","4957.83","151276","2.5","2347.11"
"Palmitinho (RS)","2018","361","359","1780","1252","1266.85","29112","1.9","1767.68"
"Panambi (RS)","2018","1763","1707","14654","12530","12625.70","479705","3.1","2922.64"
"Pantano Grande (RS)","2018","268","263","2320","2072","2058.61","55318","2.2","2067.05"
"Paraí (RS)","2018","517","511","3148","2391","2458.74","66510","2.2","2080.80"
"Paraíso do Sul (RS)","2018","183","180","786","646","590.05","16650","2.3","2170.64"
"Pareci Novo (RS)","2018","176","175","921","713","721.74","21268","2.4","2266.77"
"Parobé (RS)","2018","1530","1490","14588","12600","13420.84","336600","2.0","1929.26"
"Passa Sete (RS)","2018","69","69","296","226","229.72","8275","2.9","2770.88"
"Passo do Sobrado (RS)","2018","271","271","1032","725","718.71","20290","2.3","2171.61"
"Passo Fundo (RS)","2018","10376","9800","72157","58148","57837.50","2051313","2.9","2728.22"
"Paulo Bento (RS)","2018","91","90","607","494","500.45","15086","2.4","2318.86"
"Paverama (RS)","2018","275","272","1528","1229","1285.13","29897","1.9","1789.52"
"Pedras Altas (RS)","2018","28","28","288","262","264.81","8297","2.5","2410.20"
"Pedro Osório (RS)","2018","145","142","1099","953","954.62","24278","2.1","1956.29"
"Pejuçara (RS)","2018","119","116","681","541","545.59","17206","2.5","2425.83"
"Pelotas (RS)","2018","10536","9936","84040","71469","71220.77","2616769","3.0","2826.28"
"Picada Café (RS)","2018","266","259","3090","2711","2760.42","71221","2.1","1984.67"
"Pinhal (RS)","2018","101","99","841","738","695.16","20659","2.4","2285.97"
"Pinhal da Serra (RS)","2018","54","54","341","302","308.36","11433","3.0","2852.11"
"Pinhal Grande (RS)","2018","115","109","539","427","430.94","17148","3.2","3060.85"
"Pinheirinho do Vale (RS)","2018","121","119","571","445","440.75","11862","2.2","2070.24"
"Pinheiro Machado (RS)","2018","246","243","1505","1257","1252.65","39284","2.5","2412.38"
"Pinto Bandeira (RS)","2018","77","76","345","263","295.41","9084","2.5","2365.55"
"Pirapó (RS)","2018","52","52","290","249","245.33","7219","2.4","2263.64"
"Piratini (RS)","2018","432","419","3012","2590","2362.64","62920","2.1","2048.56"
"Planalto (RS)","2018","429","424","1725","1256","1234.58","30042","2.0","1871.84"
"Poço das Antas (RS)","2018","113","112","1152","1054","1089.64","30410","2.3","2146.77"
"Pontão (RS)","2018","110","107","602","474","483.07","14340","2.4","2283.55"
"Ponte Preta (RS)","2018","77","77","309","213","194.98","5711","2.4","2253.09"
"Portão (RS)","2018","1218","1195","9817","8198","8220.90","268993","2.6","2516.97"
"Porto Alegre (RS)","2018","85148","80124","784708","678387","681238.49","35794883","4.2","4041.83"
"Porto Lucena (RS)","2018","133","129","597","464","451.99","12179","2.2","2072.68"
"Porto Mauá (RS)","2018","69","65","301","221","243.54","7685","2.5","2427.46"
"Porto Vera Cruz (RS)","2018","28","27","173","148","153.23","5303","2.8","2661.97"
"Porto Xavier (RS)","2018","350","347","1721","1197","1260.90","33225","2.1","2026.95"
"Pouso Novo (RS)","2018","68","68","330","252","256.99","6267","2.0","1875.96"
"Presidente Lucena (RS)","2018","146","144","1767","1590","1681.14","41543","2.0","1900.85"
"Progresso (RS)","2018","201","198","873","643","644.54","17902","2.2","2136.47"
"Protásio Alves (RS)","2018","103","102","399","263","267.99","7337","2.2","2105.98"
"Putinga (RS)","2018","129","128","739","591","589.46","14617","2.0","1907.52"
"Quaraí (RS)","2018","792","759","3449","2604","2613.07","59414","1.8","1749.01"
"Quatro Irmãos (RS)","2018","55","55","274","228","241.75","7194","2.4","2289.13"
"Quevedos (RS)","2018","50","48","288","244","237.82","8979","3.0","2904.38"
"Quinze de Novembro (RS)","2018","277","267","819","597","606.63","18241","2.4","2313.05"
"Redentora (RS)","2018","152","150","682","584","580.72","15274","2.1","2023.16"
"Relvado (RS)","2018","82","81","335","223","232.06","6245","2.2","2069.99"
"Restinga Sêca (RS)","2018","463","449","2680","2143","2197.97","54855","2.0","1919.76"
"Rio dos Índios (RS)","2018","41","40","289","247","248.41","7691","2.5","2381.61"
"Rio Grande (RS)","2018","5257","4876","49661","43994","44553.51","1991959","3.6","3439.18"
"Rio Pardo (RS)","2018","717","689","5114","4375","4463.01","118535","2.1","2043.03"
"Riozinho (RS)","2018","147","144","1808","1634","1641.45","35814","1.8","1678.35"
"Roca Sales (RS)","2018","464","450","3794","3162","3203.36","79173","2.0","1901.21"
"Rodeio Bonito (RS)","2018","278","272","1399","1099","1072.67","25797","1.9","1849.93"
"Rolador (RS)","2018","32","32","207","190","196.42","7161","2.9","2804.57"
"Rolante (RS)","2018","830","816","7510","6509","6907.46","155140","1.8","1727.67"
"Ronda Alta (RS)","2018","428","417","1776","1244","1231.89","33062","2.2","2064.47"
"Rondinha (RS)","2018","222","218","764","496","556.20","16552","2.4","2289.17"
"Roque Gonzales (RS)","2018","184","183","829","627","654.20","19123","2.4","2248.49"
"Rosário do Sul (RS)","2018","1112","1072","5852","4545","4770.53","127338","2.2","2053.27"
"Sagrada Família (RS)","2018","65","64","383","316","336.00","8653","2.1","1981.11"
"Saldanha Marinho (RS)","2018","87","82","467","393","420.09","13220","2.5","2420.80"
"Salto do Jacuí (RS)","2018","306","300","1614","1309","1385.26","53013","3.1","2943.81"
"Salvador das Missões (RS)","2018","125","116","782","623","631.47","19945","2.5","2429.67"
"Salvador do Sul (RS)","2018","385","363","2924","2400","2418.16","66015","2.2","2099.99"
"Sananduva (RS)","2018","979","951","4618","3353","3506.15","93922","2.2","2060.60"
"Santa Bárbara do Sul (RS)","2018","293","278","1676","1388","1399.62","44785","2.6","2461.41"
"Santa Cecília do Sul (RS)","2018","46","44","260","206","188.84","5947","2.5","2422.29"
"Santa Clara do Sul (RS)","2018","306","303","2581","2189","2314.49","52051","1.8","1729.94"
"Santa Cruz do Sul (RS)","2018","6981","6655","51448","41336","43950.49","1549711","2.8","2712.34"
"Santa Maria (RS)","2018","9516","8759","81354","68323","67543.97","2753152","3.3","3135.45"
"Santa Maria do Herval (RS)","2018","227","223","2144","1866","1832.46","46424","2.0","1948.79"
"Santa Margarida do Sul (RS)","2018","44","43","342","293","317.07","9180","2.3","2227.03"
"Santana da Boa Vista (RS)","2018","143","143","745","605","579.81","13746","1.9","1823.64"
"Sant'Ana do Livramento (RS)","2018","2532","2352","15260","12109","12189.69","331257","2.2","2090.40"
"Santa Rosa (RS)","2018","3207","3059","25445","21776","21730.47","655911","2.4","2321.84"
"Santa Tereza (RS)","2018","59","58","253","180","176.21","5921","2.7","2584.76"
"Santa Vitória do Palmar (RS)","2018","765","738","5284","4472","4639.37","134319","2.3","2227.07"
"Santiago (RS)","2018","1541","1449","9287","7349","7388.83","210202","2.3","2188.35"
"Santo Ângelo (RS)","2018","2956","2802","21186","18085","17895.09","519634","2.3","2233.68"
"Santo Antônio do Palma (RS)","2018","74","74","379","288","311.91","7935","2.1","1956.88"
"Santo Antônio da Patrulha (RS)","2018","1511","1467","11511","9790","9919.15","272545","2.2","2113.59"
"Santo Antônio das Missões (RS)","2018","186","178","1136","981","988.90","26541","2.2","2064.55"
"Santo Antônio do Planalto (RS)","2018","57","54","378","316","332.38","11574","2.8","2678.48"
"Santo Augusto (RS)","2018","528","514","2917","2313","2336.25","64694","2.2","2130.11"
"Santo Cristo (RS)","2018","625","605","3848","3009","2959.59","81738","2.2","2124.46"
"Santo Expedito do Sul (RS)","2018","64","64","320","245","249.62","7065","2.3","2177.19"
"São Borja (RS)","2018","1523","1449","11002","9383","9645.32","269128","2.2","2146.34"
"São Domingos do Sul (RS)","2018","194","191","891","597","608.16","17202","2.3","2175.74"
"São Francisco de Assis (RS)","2018","352","340","1932","1560","1588.90","43539","2.2","2107.83"
"São Francisco de Paula (RS)","2018","753","721","3943","3068","3306.59","90094","2.2","2095.92"
