"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Jacareacanga (PA)","2018","115","114","1589","1480","1716.41","53102","2.5","2379.85"
"Jacundá (PA)","2018","434","431","4278","3630","4002.06","98316","2.0","1889.73"
"Juruti (PA)","2018","240","233","7679","7434","7226.12","213647","2.4","2274.30"
"Limoeiro do Ajuru (PA)","2018","38","37","1049","1015","1020.56","26839","2.1","2022.95"
"Mãe do Rio (PA)","2018","305","300","2832","2525","2528.81","60770","1.9","1848.53"
"Magalhães Barata (PA)","2018","29","28","622","599","553.52","9741","1.4","1353.69"
"Marabá (PA)","2018","3934","3649","49705","45398","44716.55","1473426","2.7","2534.64"
"Maracanã (PA)","2018","72","71","2015","1954","1842.74","35232","1.5","1470.72"
"Marapanim (PA)","2018","106","104","1542","1463","1730.73","41394","1.9","1839.77"
"Marituba (PA)","2018","768","750","17810","16945","16925.85","457067","2.2","2077.24"
"Medicilândia (PA)","2018","158","156","1516","1384","1426.59","34405","1.9","1855.13"
"Melgaço (PA)","2018","49","48","1169","1121","1335.31","41331","2.5","2380.94"
"Mocajuba (PA)","2018","115","113","1958","1854","1806.36","48120","2.1","2049.15"
"Moju (PA)","2018","294","291","7870","7623","7839.01","187208","1.9","1837.04"
"Mojuí dos Campos (PA)","2018","102","102","240","148","141.10","2835","1.6","1545.82"
"Monte Alegre (PA)","2018","236","224","3396","3112","3036.90","71392","1.9","1808.32"
"Muaná (PA)","2018","59","58","1070","1003","1021.87","30054","2.4","2262.38"
"Nova Esperança do Piriá (PA)","2018","86","84","1130","1031","1047.49","26656","2.1","1957.51"
"Nova Ipixuna (PA)","2018","84","84","977","887","966.78","25957","2.2","2065.27"
"Nova Timboteua (PA)","2018","64","64","837","764","763.34","16734","1.8","1686.33"
"Novo Progresso (PA)","2018","793","781","4677","3759","3940.67","121866","2.5","2378.86"
"Novo Repartimento (PA)","2018","477","469","4627","4075","4191.02","117052","2.3","2148.40"
"Óbidos (PA)","2018","433","407","3660","3258","3561.40","82955","1.9","1791.76"
"Oeiras do Pará (PA)","2018","82","80","1445","1364","1567.05","44088","2.3","2164.19"
"Oriximiná (PA)","2018","435","407","7588","7112","7530.51","328249","3.5","3353.02"
"Ourém (PA)","2018","93","93","948","847","800.15","16246","1.6","1561.86"
"Ourilândia do Norte (PA)","2018","288","288","2817","2586","3019.34","98300","2.6","2504.36"
"Pacajá (PA)","2018","169","168","3377","3188","3257.75","96568","2.4","2280.20"
"Palestina do Pará (PA)","2018","41","41","421","385","398.74","9915","2.0","1912.70"
"Paragominas (PA)","2018","1581","1502","18456","16475","17202.03","541571","2.5","2421.77"
"Parauapebas (PA)","2018","3268","3126","48196","44695","43726.99","1672272","3.1","2941.81"
"Pau D'Arco (PA)","2018","37","37","471","429","604.37","14863","2.0","1891.70"
"Peixe-Boi (PA)","2018","23","23","361","340","419.07","7583","1.5","1391.90"
"Piçarra (PA)","2018","84","82","1060","975","1169.87","23725","1.6","1559.97"
"Placas (PA)","2018","95","92","943","832","892.69","17693","1.6","1524.63"
"Ponta de Pedras (PA)","2018","50","48","1326","1286","1197.75","24698","1.7","1586.19"
"Portel (PA)","2018","347","339","4234","3853","3752.32","100016","2.1","2050.34"
"Porto de Moz (PA)","2018","118","113","2206","2091","1949.31","47336","2.0","1867.94"
"Prainha (PA)","2018","89","84","1955","1874","1823.12","41804","1.8","1763.85"
"Primavera (PA)","2018","53","53","847","800","798.15","25966","2.6","2502.55"
"Quatipuru (PA)","2018","31","31","571","543","562.95","11871","1.7","1622.13"
"Redenção (PA)","2018","1683","1594","14255","12470","12966.19","318176","2.0","1887.60"
"Rio Maria (PA)","2018","274","271","2465","2191","2282.98","54766","1.9","1845.28"
